species,state,section,metric,value
Artemisia_annua,after,mrna,mean five_prime_utr piece length (bp),254.0
Artemisia_annua,after,mrna,mean three_prime_utr piece length (bp),387.0
Artemisia_annua,after,mrna,mean intron in cds length (bp),481.0
Artemisia_annua,after,mrna,mean intron in exon length (bp),542.0
Artemisia_annua,after,mrna,mean intron in five_prime_utr length (bp),970.0
Artemisia_annua,after,mrna,mean intron in three_prime_utr length (bp),979.0
Artemisia_annua,after,mrna,median gene length (bp),3284.0
Artemisia_annua,after,mrna,median mrna length (bp),3284.0
Artemisia_annua,after,mrna,median cds length (bp),139.0
Artemisia_annua,after,mrna,median exon length (bp),173.0
Artemisia_annua,after,mrna,median five_prime_utr length (bp),137.0
Artemisia_annua,after,mrna,median three_prime_utr length (bp),257.0
Artemisia_annua,after,mrna,median cds piece length (bp),139.0
Artemisia_annua,after,mrna,median five_prime_utr piece length (bp),137.0
Artemisia_annua,after,mrna,median three_prime_utr piece length (bp),257.0
Artemisia_annua,after,mrna,median intron in cds length (bp),145.0
Artemisia_annua,after,mrna,median intron in exon length (bp),156.0
Artemisia_annua,after,mrna,median intron in five_prime_utr length (bp),406.0
Artemisia_annua,after,mrna,median intron in three_prime_utr length (bp),244.0
Artemisia_annua,after,mrna,90 percentile gene length (bp),8514.0
Artemisia_annua,after,mrna,90 percentile mrna length (bp),8514.0
Artemisia_annua,after,mrna,90 percentile cds length (bp),607.0
Artemisia_annua,after,mrna,90 percentile exon length (bp),926.0
Artemisia_annua,after,mrna,90 percentile five_prime_utr length (bp),539.0
Artemisia_annua,after,mrna,90 percentile three_prime_utr length (bp),852.0
Artemisia_annua,after,mrna,90 percentile cds piece length (bp),607.0
Artemisia_annua,after,mrna,90 percentile five_prime_utr piece length (bp),539.0
Artemisia_annua,after,mrna,90 percentile three_prime_utr piece length (bp),852.0
Artemisia_annua,after,mrna,90 percentile intron in cds length (bp),1021.0
Artemisia_annua,after,mrna,90 percentile intron in exon length (bp),1153.0
Artemisia_annua,after,mrna,90 percentile intron in five_prime_utr length (bp),2067.0
Artemisia_annua,after,mrna,90 percentile intron in three_prime_utr length (bp),2089.0
Artemisia_annua,after,mrna,Longest gene (bp),46085.0
Artemisia_annua,after,mrna,Longest mrna (bp),46085.0
Artemisia_annua,after,mrna,Longest cds (bp),16038.0
Artemisia_annua,after,mrna,Longest exon (bp),10620.0
Artemisia_annua,after,mrna,Longest five_prime_utr (bp),8257.0
Artemisia_annua,after,mrna,Longest three_prime_utr (bp),8405.0
Artemisia_annua,after,mrna,Longest cds piece (bp),6669.0
Artemisia_annua,after,mrna,Longest five_prime_utr piece (bp),8257.0
Artemisia_annua,after,mrna,Longest three_prime_utr piece (bp),8405.0
Artemisia_annua,after,mrna,Longest intron into cds part (bp),19916.0
Artemisia_annua,after,mrna,Longest intron into exon part (bp),19953.0
Artemisia_annua,after,mrna,Longest intron into five_prime_utr part (bp),19953.0
Artemisia_annua,after,mrna,Longest intron into three_prime_utr part (bp),19892.0
Artemisia_annua,after,mrna,Shortest gene (bp),228.0
Artemisia_annua,after,mrna,Shortest mrna (bp),228.0
Artemisia_annua,after,mrna,Shortest cds piece (bp),1.0
Artemisia_annua,after,mrna,Shortest five_prime_utr piece (bp),1.0
Artemisia_annua,after,mrna,Shortest three_prime_utr piece (bp),1.0
Artemisia_annua,after,mrna,Shortest intron into cds part (bp),20.0
Artemisia_annua,after,mrna,Shortest intron into exon part (bp),20.0
Artemisia_annua,after,mrna,Shortest intron into five_prime_utr part (bp),20.0
Artemisia_annua,after,mrna,Shortest intron into three_prime_utr part (bp),20.0
Artemisia_annua,after,ncrna,Number of ncrna_gene,3601.0
Artemisia_annua,after,ncrna,Number of ncrna,3601.0
Artemisia_annua,after,ncrna,Number of exon,14422.0
Artemisia_annua,after,ncrna,Number of intron in exon,10821.0
Artemisia_annua,after,ncrna,Number ncrna_gene overlapping,89.0
Artemisia_annua,after,ncrna,mean ncrnas per ncrna_gene,1.0
Artemisia_annua,after,ncrna,mean exons per ncrna,4.0
Artemisia_annua,after,ncrna,mean introns in exons per ncrna,3.0
